"","Pos_629_Creatine.Creatine","Pos_846_Unidentified","Pos_1951_Unidentified","Pos_2044_Unidentified","Pos_2317_Unidentified","Pos_2375_Unidentified","Pos_3160_Unidentified","Neg_2118_Unidentified","Neg_2461_Unidentified","Neg_3431_Unidentified"
"24","14.17773","1.016001","0.1391833","0.4098381","0.5664826","0.1127225","0.225344","0.7070119","0.05209723","0.01353976"
"25","18.9462","0.9919004","0.3531064","0.6386139","0.4904273","0.2347038","0.1790479","1.358532","0.07775222","0.0479902"
"26","28.04291","1.051162","0.4146319","0.3194036","0.8889215","0.1269263","0.07248484","1.295803","0.05380329","0.03334325"
"27","28.27727","0.9244157","0.3901238","0.5435854","1.111108","0.1670099","0.1871311","3.206185","0.09154584","0.04157248"
"28","30.01629","0.8809992","0.2864453","0.5805058","1.032173","0.1776519","0.2091549","2.691577","0.06094678","0.04774935"
"29","18.98169","0.7366941","0.2937582","0.4760785","0.5670835","0.1722842","0.188883","1.612386","0.1059503","0.03621721"
"30","30.49905","0.7967933","0.2711341","0.4785511","0.8544848","0.1811328","0.1451323","3.615088","0.09290028","0.03198286"
"31","16.71022","0.95507","0.2205539","0.6222386","0.6735806","0.2465091","0.3403678","0.7766509","0.08093801","0.02671929"
"32","30.57956","1.334713","0.279319","0.4615749","1.097473","0.1824997","0.3177975","1.322333","0.1246018","0.02176244"
"33","48.06524","0.6669344","0.2194553","0.4401298","0.9660426","0.2075024","0.1843633","2.221558","0.03744726","0.02748079"
"34","37.08538","1.921276","0.5210457","0.5948506","1.522231","0.222689","0.2839748","1.044711","0.08295836","0.02318668"
"35","58.92307","0.6253114","0.2449203","0.25614","2.205971","0.1287955","0.1727478","0.8868239","0.08371619","0.04262989"
"36","24.19755","0.5345159","0.1799986","0.3515748","0.7015453","0.1230706","0.1928813","2.068279","0.03867276","0.0302761"
"37","23.86428","0.5636233","0.7567413","0.6452146","0.6341241","0.2156572","0.2616148","1.018762","0.1048275","0.02829758"
"38","18.74135","1.217562","0.4674901","0.3375652","0.5492415","0.1094587","0.1115072","3.922025","0.06039736","0.02871035"
"39","25.92152","0.8251873","0.3026315","0.8234662","0.8928012","0.2289795","0.1103734","2.829009","0.04274954","0.02207686"
"40","30.18188","0.8628215","0.2692874","0.1465899","1.156638","0.04878829","0.1490642","6.771393","0.0712532","0.0300638"
"41","19.66863","0.6873773","0.4920655","0.4251176","0.497806","0.1234546","0.1593405","1.912381","0.1100305","0.03001836"
"42","29.08611","0.6864946","0.2366601","0.1819261","0.9100178","0.07784887","0.09008957","5.356492","0.06072603","0.03319013"
"43","15.23749","0.7425091","0.2769873","0.2839084","0.6047878","0.1211409","0.06310027","0.9488205","0.06785123","0.03584677"
"44","15.49547","0.7885112","0.4984446","0.2661595","0.5799079","0.1063349","0.249262","1.928417","0.07846804","0.03346806"
"45","35.6662","1.104837","0.447043","0.5021924","1.143499","0.2023764","0.2213505","3.039928","0.09358548","0.02218948"
"46","22.83627","1.268974","0.5240262","0.8329204","0.7737523","0.2771835","0.2182499","7.938466","0.1084487","0.01799454"
"47","15.2265","1.065986","0.6223682","0.6527881","0.3078668","0.2489985","0.1649294","1.429595","0.1349346","0.02495346"
"48","60.86568","0.5543197","0.241005","0.1949639","1.81611","0.07290883","0.06290423","7.543427","0.06439012","0.04067706"
